FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  277292         	|  389.03         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  3.5165         	|  106            	|  372.75         	|  95.815         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.032945       	|  6466           	|  213.02         	|  54.757         	|
|  run_training_batch                                                                                                                                                   	|  0.021155       	|  6466           	|  136.79         	|  35.161         	|
|  [LightningModule]RevINCNNTransformer.optimizer_step                                                                                                                  	|  0.021          	|  6466           	|  135.79         	|  34.903         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.010221       	|  6466           	|  66.086         	|  16.987         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.0087912      	|  6466           	|  56.844         	|  14.612         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0017114      	|  6466           	|  11.066         	|  2.8445         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.10045        	|  107            	|  10.748         	|  2.7628         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.045701       	|  107            	|  4.89           	|  1.257          	|
|  [LightningModule]RevINCNNTransformer.optimizer_zero_grad                                                                                                             	|  0.00041633     	|  6466           	|  2.692          	|  0.69198        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.020519       	|  106            	|  2.175          	|  0.55908        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00023505     	|  6573           	|  1.545          	|  0.39714        	|
|  [LightningModule]RevINCNNTransformer.transfer_batch_to_device                                                                                                        	|  0.00020204     	|  6573           	|  1.328          	|  0.34136        	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                          	|  0.0013271      	|  107            	|  0.142          	|  0.036501       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.7167e-05     	|  6466           	|  0.111          	|  0.028532       	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  0.001028       	|  107            	|  0.11           	|  0.028275       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.0010187      	|  107            	|  0.109          	|  0.028018       	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       	|  0.0010189      	|  106            	|  0.108          	|  0.027761       	|
|  [LightningModule]RevINCNNTransformer.configure_gradient_clipping                                                                                                     	|  1.4383e-05     	|  6466           	|  0.093          	|  0.023906       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.00057944     	|  107            	|  0.062          	|  0.015937       	|
|  [LightningModule]RevINCNNTransformer.prepare_data                                                                                                                    	|  0.047          	|  1              	|  0.047          	|  0.012081       	|
|  [LightningModule]RevINCNNTransformer.on_validation_model_zero_grad                                                                                                   	|  0.00030189     	|  106            	|  0.032          	|  0.0082256      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_start                                                                                   	|  4.7943e-06     	|  6466           	|  0.031          	|  0.0079685      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.00029245     	|  106            	|  0.031          	|  0.0079685      	|
|  [LightningModule]RevINCNNTransformer.on_validation_model_eval                                                                                                        	|  0.00028037     	|  107            	|  0.03           	|  0.0077115      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                     	|  0.00028302     	|  106            	|  0.03           	|  0.0077115      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_batch_end                                                                                	|  0.00014953     	|  107            	|  0.016          	|  0.0041128      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_backward                                                                                     	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [LightningModule]RevINCNNTransformer.on_after_backward                                                                                                               	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                   	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_end                                                                                     	|  2.4745e-06     	|  6466           	|  0.016          	|  0.0041128      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.00014019     	|  107            	|  0.015          	|  0.0038557      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  2.3198e-06     	|  6466           	|  0.015          	|  0.0038557      	|
|  [LightningModule]RevINCNNTransformer.configure_callbacks                                                                                                             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.setup                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]RevINCNNTransformer.setup                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]RevINCNNTransformer.configure_optimizers                                                                                                            	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_fit_start                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]RevINCNNTransformer.on_fit_start                                                                                                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_sanity_check_start                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_start                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_start    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]RevINCNNTransformer.val_dataloader                                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_start                                                                                    	|  0.0            	|  107            	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_start                                                                                                                           	|  0.0            	|  107            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_start      	|  0.0            	|  107            	|  0.0            	|  0.0            	|
|  [LightningModule]RevINCNNTransformer.on_validation_start                                                                                                             	|  0.0            	|  107            	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_start                                                                                                                   	|  0.0            	|  107            	|  0.0            	|  0.0            	|
