FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  661423         	|  632.17         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  2.42           	|  253            	|  612.27         	|  96.851         	|
|  run_training_batch                                                                                                                                                   	|  0.02824        	|  15433          	|  435.83         	|  68.942         	|
|  [LightningModule]CNNTransformerBiLSTM.optimizer_step                                                                                                                 	|  0.028096       	|  15433          	|  433.6          	|  68.589         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.014597       	|  15433          	|  225.28         	|  35.635         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.010697       	|  15433          	|  165.08         	|  26.113         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.0086303      	|  15433          	|  133.19         	|  21.069         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.059331       	|  254            	|  15.07          	|  2.3838         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0008211      	|  15433          	|  12.672         	|  2.0045         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.04274        	|  254            	|  10.856         	|  1.7173         	|
|  [LightningModule]CNNTransformerBiLSTM.optimizer_zero_grad                                                                                                            	|  0.00047612     	|  15433          	|  7.348          	|  1.1623         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.022968       	|  253            	|  5.811          	|  0.91921        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00023752     	|  15687          	|  3.726          	|  0.5894         	|
|  [LightningModule]CNNTransformerBiLSTM.transfer_batch_to_device                                                                                                       	|  0.00019169     	|  15687          	|  3.007          	|  0.47566        	|
|  [LightningModule]CNNTransformerBiLSTM.configure_gradient_clipping                                                                                                    	|  2.3197e-05     	|  15433          	|  0.358          	|  0.05663        	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                          	|  0.00097638     	|  254            	|  0.248          	|  0.03923        	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       	|  0.00086957     	|  253            	|  0.22           	|  0.034801       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00085827     	|  254            	|  0.218          	|  0.034484       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.3283e-05     	|  15433          	|  0.205          	|  0.032428       	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  0.00054724     	|  254            	|  0.139          	|  0.021988       	|
|  [LightningModule]CNNTransformerBiLSTM.on_validation_model_zero_grad                                                                                                  	|  0.00049012     	|  253            	|  0.124          	|  0.019615       	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.00043083     	|  253            	|  0.109          	|  0.017242       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.0004252      	|  254            	|  0.108          	|  0.017084       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                     	|  0.00031225     	|  253            	|  0.079          	|  0.012497       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_backward                                                                                     	|  4.0822e-06     	|  15433          	|  0.063          	|  0.0099656      	|
|  [LightningModule]CNNTransformerBiLSTM.on_before_backward                                                                                                             	|  3.0454e-06     	|  15433          	|  0.047          	|  0.0074347      	|
|  [LightningModule]CNNTransformerBiLSTM.on_validation_model_eval                                                                                                       	|  0.0001811      	|  254            	|  0.046          	|  0.0072765      	|
|  [LightningModule]CNNTransformerBiLSTM.prepare_data                                                                                                                   	|  0.032          	|  1              	|  0.032          	|  0.0050619      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  2.0735e-06     	|  15433          	|  0.032          	|  0.0050619      	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                            	|  2.0087e-06     	|  15433          	|  0.031          	|  0.0049037      	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                         	|  1.9439e-06     	|  15433          	|  0.03           	|  0.0047455      	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                  	|  0.016          	|  1              	|  0.016          	|  0.002531       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_start                                                                                    	|  6.2992e-05     	|  254            	|  0.016          	|  0.002531       	|
|  [LightningModule]CNNTransformerBiLSTM.on_after_batch_transfer                                                                                                        	|  1.02e-06       	|  15687          	|  0.016          	|  0.002531       	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                       	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                          	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [LightningModule]CNNTransformerBiLSTM.on_train_batch_start                                                                                                           	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_after_backward                                                                                      	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                          	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_optimizer_step                                                                               	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                   	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_end                                                                                     	|  1.0367e-06     	|  15433          	|  0.016          	|  0.002531       	|
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                               	|  0.016          	|  1              	|  0.016          	|  0.002531       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  9.7194e-07     	|  15433          	|  0.015          	|  0.0023728      	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                           	|  9.7194e-07     	|  15433          	|  0.015          	|  0.0023728      	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                            	|  9.7194e-07     	|  15433          	|  0.015          	|  0.0023728      	|
|  [LightningModule]CNNTransformerBiLSTM.on_after_backward                                                                                                              	|  9.7194e-07     	|  15433          	|  0.015          	|  0.0023728      	|
|  [LightningModule]CNNTransformerBiLSTM.on_train_batch_end                                                                                                             	|  9.7194e-07     	|  15433          	|  0.015          	|  0.0023728      	|
|  [LightningModule]CNNTransformerBiLSTM.configure_callbacks                                                                                                            	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.setup                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]CNNTransformerBiLSTM.setup                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]CNNTransformerBiLSTM.configure_optimizers                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_fit_start                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]CNNTransformerBiLSTM.on_fit_start                                                                                                                   	|  0.0            	|  1              	|  0.0            	|  0.0            	|
