FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  261484         	|  224.89         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  2.0999         	|  100            	|  209.99         	|  93.372         	|
|  run_training_batch                                                                                                                                                   	|  0.02766        	|  6100           	|  168.72         	|  75.025         	|
|  [LightningModule]RevINCNNTransformerBiLSTM.optimizer_step                                                                                                            	|  0.027486       	|  6100           	|  167.66         	|  74.553         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.012999       	|  6100           	|  79.293         	|  35.258         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.011643       	|  6100           	|  71.024         	|  31.582         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0017721      	|  6100           	|  10.81          	|  4.8068         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.10427        	|  101            	|  10.531         	|  4.6827         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.0013067      	|  6100           	|  7.971          	|  3.5444         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.049525       	|  101            	|  5.002          	|  2.2242         	|
|  [LightningModule]RevINCNNTransformerBiLSTM.optimizer_zero_grad                                                                                                       	|  0.00047443     	|  6100           	|  2.894          	|  1.2868         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00021319     	|  6201           	|  1.322          	|  0.58784        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.01078        	|  100            	|  1.078          	|  0.47934        	|
|  [LightningModule]RevINCNNTransformerBiLSTM.transfer_batch_to_device                                                                                                  	|  0.00016723     	|  6201           	|  1.037          	|  0.46111        	|
|  [LightningModule]RevINCNNTransformerBiLSTM.configure_gradient_clipping                                                                                               	|  2.2951e-05     	|  6100           	|  0.14           	|  0.062252       	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  0.0010693      	|  101            	|  0.108          	|  0.048023       	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                          	|  0.00093069     	|  101            	|  0.094          	|  0.041798       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.00061386     	|  101            	|  0.062          	|  0.027569       	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       	|  0.00061        	|  100            	|  0.061          	|  0.027124       	|
|  [LightningModule]RevINCNNTransformerBiLSTM.prepare_data                                                                                                              	|  0.047          	|  1              	|  0.047          	|  0.020899       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  7.7049e-06     	|  6100           	|  0.047          	|  0.020899       	|
|  [LightningModule]RevINCNNTransformerBiLSTM.on_validation_model_eval                                                                                                  	|  0.00031683     	|  101            	|  0.032          	|  0.014229       	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start                                                                                                                  	|  5.2459e-06     	|  6100           	|  0.032          	|  0.014229       	|
|  [LightningModule]RevINCNNTransformerBiLSTM.on_validation_model_zero_grad                                                                                             	|  0.00032        	|  100            	|  0.032          	|  0.014229       	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.00032        	|  100            	|  0.032          	|  0.014229       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward        	|  5.082e-06      	|  6100           	|  0.031          	|  0.013784       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00015842     	|  101            	|  0.016          	|  0.0071146      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_validation_epoch_end                                                                                	|  0.00015842     	|  101            	|  0.016          	|  0.0071146      	|
|  [LightningModule]RevINCNNTransformerBiLSTM.on_train_batch_start                                                                                                      	|  2.623e-06      	|  6100           	|  0.016          	|  0.0071146      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  2.623e-06      	|  6100           	|  0.016          	|  0.0071146      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  2.623e-06      	|  6100           	|  0.016          	|  0.0071146      	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                            	|  2.623e-06      	|  6100           	|  0.016          	|  0.0071146      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  2.623e-06      	|  6100           	|  0.016          	|  0.0071146      	|
